,imdb_id,tmdb_id,original_language,poster_path,popularity,original_title,year,genre,country,director,actors,description,external_rating,rating
2,tt0001892,194210,Danish,http://image.tmdb.org/t/p/original/gvt3BhJKcszTLSQENxfQjr0CWNC.jpg,1.5019999999999998,Den sorte drøm,1911,Drama,"Germany, Denmark",Urban Gad,"Asta Nielsen, Valdemar Psilander, Gunnar Helsengreen, Emil Albes, Hugo Flink, Mary Hagen","Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...",5.8,0.0
4,tt0002130,70512,Italian,http://image.tmdb.org/t/p/original/ky0z9hDlajlwL3fBqwsCSbjJGjR.jpg,2.9410000000000003,L'Inferno,1911,"Adventure, Drama, Fantasy",Italy,"Francesco Bertolini, Adolfo Padovan","Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne, Augusto Milla, Attilio Motta, Emilise Beretta",Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.,7.0,0.0
5,tt0002199,119876,English,http://image.tmdb.org/t/p/original/wsRp6nRPam7F7ShyhRtswBRE283.jpg,2.234,"From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama",USA,Sidney Olcott,"R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister, Samuel Morgan, James D. Ainsley, Robert G. Vignola, George Kellog, J.P. McGowan","An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...",5.7,0.0
6,tt0002423,48218,German,http://image.tmdb.org/t/p/original/U20aqKl3pgeW3m7Ng1dosGTfTW.jpg,2.725,Madame DuBarry,1919,"Biography, Drama, Romance",Germany,Ernst Lubitsch,"Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein, Reinhold Schünzel, Else Berna, Fred Immler, Gustav Czimeg, Karl Platen, Bernhard Goetzke, Magnus Stifter, Paul Biensfeldt, Willy Kaiser-Heyl, Alexander Ekert, Robert Sortsch-Pla","The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.",6.8,0.0
7,tt0002445,114166,Latin,http://image.tmdb.org/t/p/original/f79ax2LZMU8w4sdIYnNFB4ywQMV.jpg,0.802,Quo Vadis?,1913,"Drama, History",Italy,Enrico Guazzoni,"Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo, Lea Giunchi, Bruto Castellani, Augusto Mastripietri, Cesare Moltini, Olga Brandini, Ignazio Lupi, Giovanni Gizzi, Lia Orlandini, Matilde Guillaume, Ida Carloni Talli, Giuseppe Gambardella","An epic Italian film ""Quo Vadis"" influenced many of the later movies.",6.2,0.0
10,tt0002646,179835,Danish,http://image.tmdb.org/t/p/original/8oaxLkNm5Exls0X0DXyHiICoIfP.jpg,0.71,Atlantis,1913,Drama,Denmark,August Blom,"Olaf Fønss, Ida Orloff, Ebba Thomsen, Carl Lauritzen, Frederik Jacobsen, Charles Unthan, Torben Meyer, Svend Bille, Oluf Billesborg, Maja Bjerre-Lind, Cajus Bruun, Michael Curtiz, Marie Dinesen, Vera Esbøll, Lily Frederiksen","After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.",6.6,0.0
11,tt0002844,319287,French,http://image.tmdb.org/t/p/original/m5SabcjoTRBamf44HCGF8fbLISz.jpg,2.358,Fantômas - À l'ombre de la guillotine,1913,"Crime, Drama",France,Louis Feuillade,"René Navarre, Edmund Breon, Georges Melchior, Renée Carl, Jane Faber, André Volbert, Naudier, Maillard, Yvette Andréyor, André Luguet",Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas.,7.0,0.0
12,tt0003014,147622,Swedish,http://image.tmdb.org/t/p/original/nMe9jo93mQLUaf4mPGmjogtnCMl.jpg,2.035,Ingeborg Holm,1913,Drama,Sweden,Victor Sjöström,"Hilda Borgström, Aron Lindgren, Erik Lindholm, Georg Grönroos, William Larsson, Richard Lund, Carl Barcklind, Hugo Björne, Bertil Malmstedt",Single mother is separated from her children due to financial struggles.,7.1,0.0
13,tt0003037,737686,Spanish,http://image.tmdb.org/t/p/original/bhV0xjTjizPkzDtoxAEX2FHxSyT.jpg,0.6,Juve contre Fantômas,1913,"Crime, Drama",France,Louis Feuillade,"René Navarre, Edmund Breon, Georges Melchior, Renée Carl, Yvette Andréyor, Laurent Morléas","In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.",7.0,0.0
15,tt0003131,280570,German,http://image.tmdb.org/t/p/original/1lAzYAkMFkWqcF9Cn21HzUj0vOS.jpg,1.481,Maudite soit la guerre,1914,"Drama, War",Belgium,Alfred Machin,"Baert, Suzanne Berni, Fernand Crommelynck, Nadia D'Angely, Henri Goidsen, Albert Hendrickx, Maurice Auzat, Renée Bailly, Georges Etienne, Zizi Festerat, Lucien Mussière, Réginald, Jane Tony","An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...",6.5,0.0
